Title,Link,Classifications,IMDb Rating,Budget,Gross US & Canada,Opening Weekend US & Canada,Opening Weekend Date,Gross Worldwide,Runtime,Color,Sound mix,Aspect ratio,
Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/?ref_=chttp_t_60,PG,8.4,18000000,248159971,8305823,6/14/1981,389925971,1 hours 55 minutes,Color,Dolby Atmos,2.39 : 1,
The Lives of Others,https://www.imdb.com/title/tt0405094/?ref_=chttp_t_61,R,8.4,2000000,11286112,223000,2/11/2007,77357476,2 hours 17 minutes,Color,Dolby Digital,2.39 : 1,
Sunset Boulevard,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_62,Approved,8.4,1752000,299645,169067,5/13/2018,304474,1 hours 50 minutes,Black and White,,1.37 : 1,
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_63,PG-13,8.4,321000000,678815482,257698183,4/29/2018,2052415039,2 hours 29 minutes,,IMAX 6-Track,,
Paths of Glory,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_64,Approved,8.4,935000,,,,8290,1 hours 28 minutes,Black and White,Mono,,
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_65,PG,8.4,90000000,190241310,35363376,12/16/2018,384298736,1 hours 57 minutes,Color,Dolby Atmos,2.39 : 1,
Witness for the Prosecution,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_66,Approved,8.4,3000000,,,,7903,1 hours 56 minutes,Black and White,,1.66 : 1,
The Shining,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_67,R,8.4,19000000,45634352,622337,5/26/1980,47516353,2 hours 26 minutes,Color,Mono,,
The Great Dictator,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_68,G,8.4,2000000,,,,972212,2 hours 5 minutes,Black and White,,1.37 : 1,
Aliens,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_69,R,8.4,18500000,85160248,10052042,7/20/1986,131060248,2 hours 17 minutes,Color,Dolby Stereo,1.85 : 1,
Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_70,R,8.4,70000000,120540719,38054676,8/23/2009,321458605,2 hours 33 minutes,Color,SDDS,2.39 : 1,
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_71,PG-13,8.4,250000000,448149584,160887295,7/22/2012,1085289416,2 hours 44 minutes,Color,SDDS,1.78 : 1,
Coco,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_72,PG,8.4,175000000,210460015,50802605,11/26/2017,828369186,1 hours 45 minutes,Color,Dolby Atmos,2.35 : 1,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_73,PG,8.3,1800000,9440272,11751,7/17/1994,9631984,1 hours 35 minutes,Black and White,Dolby Digital,,
Oldboy,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_74,R,8.3,3000000,2458200,68957,3/27/2005,17542965,2 hours,Color,Dolby Digital,2.35 : 1,
Amadeus,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_75,PG,8.4,18000000,51973029,505276,09/23/1984,52071304,2 hours 40 minutes,Color,,2.39 : 1,
American Beauty,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_76,R,8.3,15000000,130096601,861531,9/19/1999,356296601,2 hours 2 minutes,Color,DTS,2.39 : 1,
Toy Story,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_77,G,8.3,30000000,223225679,29140617,11/26/1995,394436586,1 hours 21 minutes,,Dolby Stereo,1.78 : 1,
Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_78,PG-13,8.4,356000000,858373000,357115007,4/28/2019,2799439100,3 hours 1 minute,,Dolby Atmos,,
Das Boot,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_79,,8.4,32000000,11487676,26994,2/14/1982,11488778,2 hours 29 minutes,Color,Dolby Stereo,,
Braveheart,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_80,R,8.3,72000000,75609945,9938276,5/28/1995,213216216,2 hours 58 minutes,Color,DTS,2.39 : 1,
